S.N., phrase/terminology, conceptual definition , numerical values or notations (if applicable) , remarks/purpose , reference consisting of the word or phrase
1, invariant plane strain, Material deformation within fixed plane , , Simplifies problems of materials behavior , https://www.jstor.org/stable/77873
2, habit plane indices,Indices (h k l) describing crystal plane orientation, (h k l) ∈ ℤ (where ℤ is a set of all integers ),Identification of crystallographic planes within a crystal lattice , https://www.mdpi.com/2073-4352/12/6/813
 , , ,different constraints imposed upon crystal structure types ,predict material properties and behavior guided by crystal orientation ,
3, lattice parameters,a set of parameters that describe the size and shape of a crystal lattice , a b and c in the unit of Å ; α β and  γ in unit of degrees(°), ,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
